#data from http://pds-geosciences.wustl.edu/phx/phx-m-ra-4-rdr-sci-v1/phxra_1001/data/
time(s);x_t(m);y_t(m);z_t(m);th_t(rad);Fr(N);Ft(N);Fz(N);R(N)
900550802.3;0.1808;1.5408;0.7834;2.2342;0;0;0;0
900550802.4;0.1808;1.5404;0.7868;2.2351;-1.2383;0;5.291;5.434
900550802.5;0.1807;1.5398;0.7898;2.2362;-0.6587;0;-0.325;0.7345
900550802.6;0.1808;1.5401;0.792;2.2336;-2.6752;0;2.8504;3.9091
900550802.7;0.1808;1.5402;0.7943;2.2321;0;0;0;0
900550802.8;0.1808;1.5401;0.7971;2.2327;0;0;0;0
900550802.9;0.1807;1.5393;0.8005;2.2339;-0.3631;0;5.7883;5.7997
900550803;0.1806;1.539;0.8036;2.2347;0;0;0;0
900550803.1;0.1807;1.5392;0.8062;2.2349;-1.628;0;4.756;5.0269
900550803.2;0.1806;1.5391;0.8091;2.2355;0;0;0;0
900550803.3;0.1806;1.5386;0.812;2.2354;0;0;0;0
900550803.4;0.1806;1.5384;0.8153;2.2344;-1.8597;0;5.5158;5.8208
900550803.5;0.1805;1.5381;0.8182;2.2333;-0.5149;0;4.1417;4.1736
900550803.6;0.1805;1.5381;0.8207;2.2337;0;0;0;0
900550803.7;0.1805;1.5378;0.8232;2.2344;0;0;0;0
900550803.8;0.1804;1.5373;0.8261;2.2352;0;0;0;0
900550803.9;0.1804;1.537;0.8289;2.2358;0;0;0;0
900550804;0.1804;1.5371;0.8318;2.2362;-0.4959;0;5.5798;5.6018
900550804.1;0.1803;1.5364;0.8349;2.2372;-1.6778;0;4.3696;4.6806
900550804.2;0.1803;1.5362;0.8378;2.2352;0;0;0;0
900550804.3;0.1803;1.5362;0.8406;2.2337;0;0;0;0
900550804.4;0.1803;1.5361;0.8438;2.2343;-3.2418;0;3.7761;4.9768
900550804.5;0.1805;1.5378;0.8436;2.2329;0;0;0;0
900550804.6;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550804.7;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550804.8;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550804.9;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550805;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550805.1;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550805.2;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550805.3;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550805.4;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550805.5;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550805.6;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550805.7;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550805.8;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550805.9;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550806;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550806.1;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550806.2;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550806.3;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550806.4;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550806.5;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550806.6;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550806.7;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550806.8;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550806.9;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550807;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550807.1;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550807.2;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550807.3;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550807.4;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550807.5;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550807.6;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550807.7;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550807.8;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550807.9;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550808;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550808.1;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550808.2;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550808.3;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550808.4;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550808.5;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550808.6;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550808.7;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550808.8;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550808.9;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550809;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550809.1;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550809.2;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550809.3;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550809.4;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550809.5;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550809.6;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550809.7;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550809.8;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550809.9;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550810;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550810.1;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550810.2;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550810.3;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550810.4;0.1806;1.5385;0.8434;2.2322;0;0;0;0
900550810.5;0.1807;1.5387;0.8433;2.2312;0;0;0;0
900550810.6;0.1807;1.5387;0.8433;2.2312;0;0;0;0
900550811.1;0.1807;1.5387;0.8433;2.2312;0;0;0;0
900550811.1;0.1807;1.5387;0.8433;2.2312;0;0;0;0
900550811.2;0.1806;1.5384;0.8437;2.2315;0;0;0;0
900550811.3;0.1805;1.5376;0.8451;2.2324;0;0;0;0
900550811.4;0.1801;1.5346;0.8477;2.2352;0;0;0;0
900550811.5;0.1797;1.5319;0.85;2.2378;0;0;0;0
900550811.6;0.1797;1.532;0.8498;2.2349;0;0;0;0
900550811.7;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550811.8;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550811.9;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550812;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550812.1;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550812.2;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550812.3;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550812.4;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550812.5;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550812.6;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550812.7;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550812.8;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550812.9;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550813;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550813.1;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550813.2;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550813.3;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550813.4;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550813.5;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550813.6;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550813.7;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550813.8;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550813.9;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550814;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550814.1;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550814.2;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550814.3;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550814.4;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550814.5;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550814.6;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550814.7;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550814.8;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550814.9;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550815.1;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550815.2;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550815.3;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550815.4;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550815.5;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550815.6;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550815.7;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550815.8;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550815.9;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550816;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550816.1;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550816.2;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550816.3;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550816.4;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550816.5;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550816.6;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550816.7;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550816.8;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550816.9;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550817;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550817.1;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550817.2;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550817.3;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550817.4;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550817.5;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550817.6;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550817.7;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550817.8;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550817.9;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550818;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550818.1;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550818.2;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550818.3;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550818.4;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550818.5;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550818.6;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550818.7;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550818.8;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550818.9;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550819;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550819.1;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550819.2;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550819.3;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550819.4;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550819.5;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550819.6;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550819.7;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550819.8;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550819.9;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550820;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550820.1;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550820.2;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550820.3;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550820.4;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550820.5;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550820.6;0.1797;1.5323;0.8497;2.2329;0;0;0;0
900550820.7;0.1798;1.5326;0.8496;2.2308;0;0;0;0
900550820.8;0.1798;1.5326;0.8496;2.2308;0;0;0;0
900550821.3;0.1798;1.5326;0.8496;2.2308;0;0;0;0
900550821.4;0.1798;1.5325;0.8497;2.2318;0;0;0;0
900550821.5;0.1796;1.5316;0.85;2.238;0;0;0;0
900550821.6;0.1792;1.5288;0.8502;2.2529;0;0;0;0
900550821.7;0.1787;1.5255;0.8505;2.2673;2.2641;0;6.9127;7.2741
900550821.8;0.1784;1.5233;0.8505;2.2764;1.1977;0;9.5664;9.6411
900550821.9;0.1781;1.5211;0.8508;2.288;-4.5922;0;-0.1112;4.5935
900550822;0.1777;1.5182;0.8511;2.3058;0;0;0;0
900550822.1;0.1772;1.5149;0.8513;2.3238;0;0;0;0
900550822.2;0.1767;1.5115;0.8516;2.34;6.1272;0;9.4801;11.2878
900550822.3;0.1762;1.5083;0.8517;2.3552;-0.6686;0;0.4273;0.7935
900550822.4;0.1759;1.5061;0.8518;2.3697;0;0;0;0
900550822.5;0.1753;1.5024;0.852;2.3898;0;0;0;0
900550822.6;0.1748;1.4986;0.8523;2.4082;6.0924;0;6.8885;9.1961
900550822.7;0.1744;1.4959;0.8521;2.4221;2.7807;0;9.8058;10.1924
900550822.8;0.174;1.4932;0.8519;2.4377;0;0;0;0
900550822.9;0.1735;1.4899;0.852;2.4566;0;0;0;0
900550823;0.173;1.4863;0.852;2.474;0;0;0;0
900550823.1;0.1725;1.4832;0.8518;2.4882;0;0;0;0
900550823.2;0.1721;1.4806;0.8517;2.5047;0;0;0;0
900550823.3;0.1716;1.4769;0.8513;2.5292;0;0;0;0
900550823.4;0.171;1.4728;0.8511;2.5497;8.2338;0;24.6285;25.9685
900550823.5;0.1705;1.4698;0.851;2.562;0;0;0;0
900550823.6;0.1701;1.4669;0.8507;2.5743;0;0;0;0
900550823.7;0.1697;1.4638;0.8504;2.5921;0;0;0;0
900550823.8;0.1692;1.4604;0.8508;2.6084;0;0;0;0
900550823.9;0.1687;1.4574;0.8524;2.6202;0;0;0;0
900550824;0.1682;1.4537;0.8539;2.6343;0;0;0;0
900550824.1;0.1677;1.4503;0.8549;2.6508;-5.5818;0;-4.5868;7.2246
900550824.2;0.1672;1.4473;0.8554;2.6678;0;0;0;0
900550824.3;0.1668;1.4444;0.8556;2.6846;0;0;0;0
900550824.4;0.1663;1.4412;0.8553;2.7017;6.1725;0;20.2685;21.1875
900550824.5;0.1659;1.4382;0.8552;2.715;0;0;0;0
900550824.6;0.1655;1.4353;0.855;2.7301;0;0;0;0
900550824.7;0.1651;1.4327;0.8545;2.7476;0;0;0;0
900550824.8;0.1647;1.4303;0.854;2.764;0;0;0;0
900550824.9;0.1644;1.4278;0.854;2.7788;0;0;0;0
900550825;0.164;1.4251;0.8542;2.7937;0;0;0;0
900550825.1;0.1636;1.4223;0.8542;2.8107;0;0;0;0
900550825.2;0.163;1.4186;0.8541;2.8291;0;0;0;0
900550825.3;0.1624;1.4146;0.8539;2.8471;0;0;0;0
900550825.4;0.1619;1.4107;0.8536;2.8658;6.1844;0;6.7949;9.1879
900550825.5;0.1616;1.4086;0.8534;2.8784;0;0;0;0
900550825.6;0.1612;1.4063;0.853;2.8931;0;0;0;0
900550825.7;0.1608;1.4035;0.8525;2.9109;0;0;0;0
900550825.8;0.1604;1.4009;0.8519;2.9276;0;0;0;0
900550825.9;0.1601;1.3986;0.8516;2.9424;0;0;0;0
900550826;0.1595;1.3949;0.8513;2.9592;0;0;0;0
900550826.1;0.1589;1.3908;0.8509;2.9773;0;0;0;0
900550826.2;0.1586;1.3883;0.8502;2.994;0;0;0;0
900550826.3;0.1582;1.3859;0.8496;3.0097;0;0;0;0
900550826.4;0.1581;1.3848;0.8493;3.0171;0;0;0;0
900550826.5;0.1581;1.3848;0.8493;3.0171;0;0;0;0
900550827;0.1581;1.3848;0.8493;3.0171;0;0;0;0
900550827.1;0.1581;1.3848;0.8493;3.0171;0;0;0;0
900550827.2;0.158;1.3843;0.8495;3.0157;0;0;0;0
900550827.3;0.1576;1.3818;0.8504;3.006;1.7894;0;10.2839;10.4384
900550827.4;0.1573;1.3798;0.8509;3.0004;8.2669;0;32.3822;33.4208
900550827.5;0.1571;1.3786;0.8512;2.9996;0;0;0;0
900550827.6;0.1568;1.3762;0.8511;3.0016;0;0;0;0
900550827.7;0.156;1.371;0.8507;3.006;-0.5202;0;6.5452;6.5658
900550827.8;0.1554;1.3665;0.8505;3.0089;0;0;0;0
900550827.9;0.1551;1.3647;0.851;3.0059;0;0;0;0
900550828;0.1547;1.3621;0.8516;3.0036;0;0;0;0
900550828.1;0.1538;1.3562;0.8523;3.0059;0;0;0;0
900550828.2;0.1528;1.3489;0.8532;3.0086;0;0;0;0
900550828.3;0.1519;1.3431;0.854;3.0099;0;0;0;0
900550828.4;0.1511;1.3373;0.8546;3.0103;0;0;0;0
900550828.5;0.1504;1.3326;0.8548;3.0107;1.8525;0;9.8536;10.0262
900550828.6;0.1497;1.3279;0.8549;3.011;0;0;0;0
900550828.7;0.1489;1.3227;0.8553;3.0118;-0.4713;0;11.3342;11.344
900550828.8;0.1482;1.3176;0.8556;3.0115;-0.8714;0;8.4001;8.4452
900550828.9;0.1474;1.3121;0.8559;3.0126;-2.124;0;-1.4468;2.57
900550829;0.1466;1.3069;0.8562;3.0134;0;0;0;0
900550829.1;0.1458;1.3017;0.8564;3.0142;0;0;0;0
900550829.2;0.1452;1.2971;0.8565;3.0135;-1.3658;0;5.5389;5.7048
900550829.3;0.1444;1.2919;0.8566;3.0142;0;0;0;0
900550829.4;0.1436;1.2865;0.8568;3.0142;6.9491;0;18.0384;19.3306
900550829.5;0.1429;1.2818;0.8572;3.0146;-1.0469;0;-24.0754;24.0981
900550829.6;0.1422;1.2769;0.8574;3.0152;0;0;0;0
900550829.7;0.1415;1.2722;0.8572;3.0154;0;0;0;0
900550829.8;0.1408;1.2674;0.8571;3.015;0;0;0;0
900550829.9;0.14;1.2623;0.857;3.0156;0.5548;0;16.1345;16.1441
900550830;0.1393;1.2572;0.8572;3.0163;0;0;0;0
900550830.1;0.1386;1.2525;0.8575;3.0167;0;0;0;0
900550830.2;0.1379;1.2476;0.8573;3.0162;0;0;0;0
900550830.3;0.1371;1.2425;0.8571;3.015;0;0;0;0
900550830.4;0.1364;1.2374;0.8568;3.0157;6.4164;0;15.9134;17.1583
900550830.5;0.1357;1.2331;0.857;3.0157;0;0;0;0
900550830.6;0.1351;1.2287;0.8572;3.0158;0;0;0;0
900550830.7;0.1344;1.2237;0.8571;3.0155;0;0;0;0
900550830.8;0.1336;1.2186;0.8567;3.0161;0.8897;0;5.6596;5.7291
900550830.9;0.1329;1.2138;0.8564;3.0165;0;0;0;0
900550831;0.1321;1.2085;0.8562;3.0173;-1.8979;0;17.6291;17.731
900550831.1;0.1315;1.2041;0.8562;3.0165;0;0;0;0
900550831.2;0.1308;1.1992;0.8559;3.017;0;0;0;0
900550831.3;0.1301;1.1945;0.8555;3.0173;0;0;0;0
900550831.4;0.1292;1.1887;0.8551;3.0176;4.5944;0;13.5854;14.3413
900550831.5;0.1284;1.1835;0.8549;3.0193;5.4002;0;-16.9103;17.7516
900550831.6;0.1278;1.1792;0.8549;3.0193;0;0;0;0
900550831.7;0.1272;1.175;0.8544;3.0183;0;0;0;0
900550831.8;0.1265;1.1702;0.8538;3.0177;-0.4427;0;6.2209;6.2367
900550831.9;0.1258;1.1652;0.8532;3.0192;1.9748;0;3.2461;3.7997
900550832;0.1251;1.1605;0.8531;3.0196;0;0;0;0
900550832.1;0.1243;1.1553;0.8528;3.0194;0;0;0;0
900550832.2;0.1236;1.1503;0.8522;3.0191;0;0;0;0
900550832.3;0.1228;1.1451;0.8515;3.0207;0;0;0;0
900550832.4;0.122;1.1401;0.8508;3.0204;6.7057;0;11.402;13.2277
900550832.5;0.1214;1.1359;0.8504;3.0202;-0.4178;0;12.3676;12.3746
900550832.6;0.1208;1.1313;0.8501;3.0205;0;0;0;0
900550832.7;0.12;1.126;0.8495;3.0213;0;0;0;0
900550832.8;0.1192;1.1209;0.8487;3.022;2.3713;0;4.7231;5.285
900550832.9;0.119;1.1192;0.8484;3.0188;0;0;0;0
900550833;0.119;1.1197;0.8487;3.0157;0;0;0;0
900550833.1;0.119;1.1197;0.8487;3.0157;0;0;0;0
900550833.6;0.119;1.1197;0.8487;3.0157;0;0;0;0
900550833.7;0.119;1.1195;0.8486;3.0167;0;0;0;0
900550833.8;0.1189;1.1187;0.8482;3.0229;0;0;0;0
900550833.9;0.1187;1.1171;0.8468;3.037;0;0;0;0
900550834;0.1185;1.1157;0.8453;3.05;0;0;0;0
900550834.1;0.1184;1.115;0.8443;3.0578;0;0;0;0
900550834.2;0.1183;1.1149;0.843;3.0687;0;0;0;0
900550834.3;0.1183;1.1144;0.8413;3.0874;-6.5535;0;-3.1321;7.2635
900550834.4;0.1181;1.1132;0.8401;3.1003;0;0;0;0
900550834.5;0.1179;1.1117;0.8386;3.1144;0;0;0;0
900550834.6;0.1176;1.1101;0.8366;3.1304;2.9966;0;8.0692;8.6076
900550834.7;0.1174;1.1083;0.8349;-3.1367;6.8463;0;10.088;12.1918
900550834.8;0.1171;1.1066;0.8333;-3.1215;0;0;0;0
900550834.9;0.117;1.106;0.8316;-3.1063;-1.4525;0;-1.3269;1.9674
900550835;0.117;1.106;0.83;-3.0925;-5.5873;0;-0.5075;5.6103
900550835.1;0.1169;1.105;0.8283;-3.0769;-7.0887;0;3.4133;7.8677
900550835.2;0.1166;1.1031;0.8264;-3.0596;0;0;0;0
900550835.3;0.1163;1.101;0.8238;-3.0384;0;0;0;0
900550835.4;0.116;1.0992;0.8217;-3.0212;0;0;0;0
900550835.5;0.1158;1.0981;0.8204;-3.01;5.1856;0;14.9605;15.8337
900550835.6;0.1156;1.0968;0.8188;-2.9969;0;0;0;0
900550835.7;0.1155;1.0962;0.8167;-2.9797;0;0;0;0
900550835.8;0.1155;1.0961;0.8149;-2.9647;-3.8418;0;-3.219;5.0122
900550835.9;0.1154;1.0952;0.813;-2.951;1.3858;0;10.962;11.0493
900550836;0.1152;1.0937;0.8108;-2.9348;-2.9983;0;4.106;5.0842
900550836.1;0.115;1.0922;0.8087;-2.9186;1.7734;0;2.2695;2.8802
900550836.2;0.1148;1.0909;0.8067;-2.9034;0;0;0;0
900550836.3;0.1146;1.0895;0.8045;-2.8872;0;0;0;0
900550836.4;0.1144;1.0883;0.8021;-2.8694;0;0;0;0
900550836.5;0.1144;1.0884;0.8003;-2.8573;-2.7006;0;7.9335;8.3806
900550836.6;0.1144;1.0884;0.7987;-2.845;-4.1243;0;-9.0625;9.9569
900550836.7;0.1142;1.0868;0.7962;-2.8267;0;0;0;0
900550836.8;0.114;1.0855;0.7937;-2.8095;0;0;0;0
900550836.9;0.1138;1.0846;0.7917;-2.7965;0;0;0;0
900550837;0.1136;1.0834;0.7894;-2.7803;0;0;0;0
900550837.1;0.1135;1.0823;0.7865;-2.7603;0;0;0;0
